股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
002594,比亚迪,5.7,79,中性,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有142家主力机构披露2026-06-30报告期持股数据，持仓量总计7568.09万股，占流通A股2.17%,6.4,4.1,5,6.3,6.4
301165,锐捷网络,5.7,80,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,上涨趋势有所减缓，可适量高抛低吸。,已有33家主力机构披露2026-06-30报告期持股数据，持仓量总计9.95亿股，占流通A股89.33%,5.0,6.0,7,3.5,6.5
600233,圆通速递,5.7,80,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,正处于反弹阶段。,已有32家主力机构披露2026-06-30报告期持股数据，持仓量总计19.74亿股，占流通A股57.67%,3.8,5.0,7,7.1,7.1
600309,万华化学,5.7,80,中性,该股进入多头行情中，股价短线上涨概率较大。,已发现中线卖出信号。,已有278家主力机构披露2026-06-30报告期持股数据，持仓量总计18.10亿股，占流通A股57.83%,4.0,4.9,8,5.8,6.9
600519,贵州茅台,5.7,80,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,长期看好，有良好的投资价值。,4.5,6.8,6.3,3.5,6.8
688012,中微公司（688012）,5.7,81,中性,该股进入多头行情中，股价短线上涨概率较大。,回落整理中且下跌有加速趋势。,已有970家主力机构披露2026-06-30报告期持股数据，持仓量总计5.61亿股，占流通A股59.85%,4.3,7.7,7,1.6,6.7
688072,拓荆科技（688072）,5.7,81,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,上涨趋势有所减缓，可适量高抛低吸。,已有525家主力机构披露2026-06-30报告期持股数据，持仓量总计1.74亿股，占流通A股61.38%,6.2,4.7,6.1,1.6,7.2
000425,徐工机械,5.6,74,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有102家主力机构披露2026-06-30报告期持股数据，持仓量总计3.83亿股，占流通A股4.25%,5.4,4.6,5.6,3.5,7.3
000596,古井贡酒,5.6,74,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有24家主力机构披露2026-06-30报告期持股数据，持仓量总计4104.82万股，占流通A股10.05%,5.7,5.0,6.2,3.5,6.5
600048,保利发展,5.6,76,中性,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有42家主力机构披露2026-06-30报告期持股数据，持仓量总计3.99亿股，占流通A股3.34%,5.2,5.7,5.5,5.7,6.2
